project_code,project_name,project_type,sector,state_name,district_name,latitude,longitude,total_acreage_ha,num_land_parcels,affected_families,project_cost_cr,private_to_govt_ratio,sc_st_land_percentage,multi_crop_irrigated_percentage,required_consent_percentage,non_owner_to_owner_paf_ratio,circle_rate_disparity_ratio,rr_cost_share_percentage,rural_multiplier_factor,district_litigation_rate,revenue_staff_vacancy_rate,avg_s15_resolution_days,days_since_s11,s11_notification_date,primary_delay_cause,delay_probability,delay_target
PRJ-WAT-BEN-2026-0574,Bengaluru Urban Multi-Purpose Irrigation Dam & Canal (Package 2),Multi-Purpose Irrigation Dam & Canal,Water Resources,Karnataka,Bengaluru Urban,12.951,77.6161,565.8,1101,2734,2125.7,5.17,2.2,15.1,0,0.38,3.47,14.3,1.25,23.6,40.4,112.6,102,2026-06-10,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8983,1
PRJ-URB-SUN-2026-0575,Sundargarh Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,Odisha,Sundargarh,22.0399,84.0606,383.6,795,2282,1877.7,2.31,41.1,13.8,80,0.56,1.99,16.2,2.0,5.6,19.6,60.3,376,2025-09-09,Section 19(2) 12-Month Statutory Deadline Proximity,0.9495,1
PRJ-TRA-NAG-2026-0576,Nagpur High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,Maharashtra,Nagpur,21.1062,79.0602,324.0,440,1286,2470.7,3.03,12.9,18.2,80,0.27,1.82,11.4,1.75,12.8,49.3,89.0,192,2026-03-12,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.4698,0
PRJ-WAT-HOO-2026-0577,Hooghly Multi-Purpose Irrigation Dam & Canal (Package 4),Multi-Purpose Irrigation Dam & Canal,Water Resources,West Bengal,Hooghly,22.9358,88.4482,1281.9,3853,7159,7311.6,3.19,9.9,71.8,0,0.38,1.68,15.7,1.75,12.2,33.2,87.6,436,2025-07-11,Section 19(2) 12-Month Statutory Deadline Proximity,0.9856,1
PRJ-TRA-CHE-2026-0578,Chennai Dedicated Freight Railway Corridor (Package 1),Dedicated Freight Railway Corridor,Transport,Tamil Nadu,Chennai,13.1363,80.243,1164.9,2107,5357,9833.1,4.93,0.5,18.4,80,0.1,3.02,8.6,1.0,18.2,14.7,76.1,109,2026-06-03,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8112,1
PRJ-TRA-BHA-2026-0579,Bharuch High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,Gujarat,Bharuch,21.6943,73.0228,333.8,830,1373,1614.8,3.9,7.2,35.6,80,0.59,2.76,12.6,1.5,14.9,36.1,80.0,43,2026-08-08,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8161,1
PRJ-URB-HOO-2026-0580,Hooghly Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,West Bengal,Hooghly,22.8377,88.4037,1144.4,2464,3280,5617.5,3.3,8.5,60.0,80,0.05,2.07,15.5,1.5,12.3,17.6,81.9,258,2026-01-05,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.7651,1
PRJ-URB-KAN-2026-0581,Kanpur Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,Uttar Pradesh,Kanpur,26.4585,80.3668,695.5,1161,2621,5395.1,3.15,12.9,24.3,80,0.55,1.76,7.9,1.25,14.6,27.3,76.4,122,2026-05-21,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2677,0
PRJ-TRA-PUN-2026-0582,Pune Dedicated Freight Railway Corridor (Package 3),Dedicated Freight Railway Corridor,Transport,Maharashtra,Pune,18.5483,73.8094,1281.6,3092,5741,10528.0,4.17,4.9,18.5,70,0.45,2.5,9.3,1.25,14.3,33.8,96.8,305,2025-11-19,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8533,1
PRJ-TRA-HOO-2026-0583,Hooghly National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,West Bengal,Hooghly,22.9716,88.3581,800.9,1348,2021,2434.6,3.28,6.3,64.2,70,0.48,1.66,6.3,1.5,13.1,17.3,76.8,111,2026-06-01,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2342,0
PRJ-WAT-CUT-2026-0584,Cuttack Multi-Purpose Irrigation Dam & Canal (Package 4),Multi-Purpose Irrigation Dam & Canal,Water Resources,Odisha,Cuttack,20.3862,85.811,761.3,1555,3693,3355.5,3.64,17.6,24.6,0,0.58,1.97,8.4,1.25,12.8,25.3,78.4,31,2026-08-20,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0703,0
PRJ-URB-CHE-2026-0585,Chennai Industrial Mega Smart City Hub (Package 3),Industrial Mega Smart City Hub,Urban Development,Tamil Nadu,Chennai,13.0735,80.209,2115.4,2052,5369,6150.6,4.31,5.5,13.8,70,0.17,3.01,25.2,1.25,18.5,33.3,91.5,196,2026-03-08,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8455,1
PRJ-URB-SAL-2026-0586,Salem Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Tamil Nadu,Salem,11.6456,78.2055,1898.3,1999,5733,6343.6,3.57,9.2,49.2,70,0.13,2.19,9.3,1.75,11.4,45.4,76.7,46,2026-08-05,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1522,0
PRJ-ENE-CUT-2026-0587,Cuttack Ultra Mega Solar Renewable Energy Park (Package 3),Ultra Mega Solar Renewable Energy Park,Energy,Odisha,Cuttack,20.4216,85.9194,1271.5,3188,9859,4284.2,2.69,18.7,22.3,70,0.53,1.96,15.5,1.5,12.6,41.2,96.9,124,2026-05-19,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1848,0
PRJ-WAT-KUT-2026-0588,Kutch Multi-Purpose Irrigation Dam & Canal (Package 3),Multi-Purpose Irrigation Dam & Canal,Water Resources,Gujarat,Kutch,23.2588,69.6971,734.0,1882,3573,5894.3,1.65,31.5,1.5,0,0.5,1.63,20.9,2.0,7.3,15.7,60.8,379,2025-09-06,Section 19(2) 12-Month Statutory Deadline Proximity,0.774,1
PRJ-TRA-GAD-2026-0589,Gadchiroli National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,Maharashtra,Gadchiroli,20.2419,79.9874,326.1,526,677,2414.8,2.25,52.7,15.9,70,0.23,1.6,26.0,2.0,8.0,20.2,68.5,283,2025-12-11,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2128,0
PRJ-TRA-SUR-2026-0590,Surat High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,Gujarat,Surat,21.2029,72.7927,516.6,940,1488,3092.7,3.74,3.6,20.9,70,0.17,2.91,5.5,1.0,18.0,48.5,105.2,217,2026-02-15,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.9001,1
PRJ-WAT-PUR-2026-0591,Purba Medinipur Multi-Purpose Irrigation Dam & Canal (Package 1),Multi-Purpose Irrigation Dam & Canal,Water Resources,West Bengal,Purba Medinipur,22.0121,87.8227,1423.3,3401,9735,6675.7,2.66,6.0,56.8,0,0.44,1.87,8.1,1.25,13.4,43.4,93.2,223,2026-02-09,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.3893,0
PRJ-TRA-NAN-2026-0592,Nandurbar High-Speed Rail Transit Link (Package 2),High-Speed Rail Transit Link,Transport,Maharashtra,Nandurbar,21.3575,74.2095,234.1,406,669,1208.8,2.64,51.8,9.0,80,0.51,1.5,24.1,2.0,4.7,6.2,48.7,80,2026-07-02,Cadastral Boundary Verification & Normal Progress,0.065,0
PRJ-TRA-MYS-2026-0593,Mysuru High-Speed Rail Transit Link (Package 3),High-Speed Rail Transit Link,Transport,Karnataka,Mysuru,12.3134,76.6756,550.6,1294,2167,1644.7,3.68,8.6,22.2,80,0.67,1.73,10.1,1.5,10.9,7.8,61.2,157,2026-04-16,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1559,0
PRJ-WAT-PUN-2026-0594,Pune Multi-Purpose Irrigation Dam & Canal (Package 4),Multi-Purpose Irrigation Dam & Canal,Water Resources,Maharashtra,Pune,18.5069,73.9026,595.1,1353,3256,2877.2,5.23,12.2,18.3,0,0.14,2.74,8.7,1.25,13.1,40.8,89.9,110,2026-06-02,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.6548,1
PRJ-WAT-KUT-2026-0595,Kutch Multi-Purpose Irrigation Dam & Canal (Package 1),Multi-Purpose Irrigation Dam & Canal,Water Resources,Gujarat,Kutch,23.2804,69.6873,900.8,1566,2046,4406.4,1.63,21.4,8.4,0,0.57,1.47,22.8,1.75,1.5,7.0,39.8,271,2025-12-23,Cadastral Boundary Verification & Normal Progress,0.0493,0
PRJ-TRA-VAR-2026-0596,Varanasi National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Uttar Pradesh,Varanasi,25.3708,82.9133,394.2,534,1398,3006.7,4.37,13.7,63.2,80,0.45,2.46,19.3,1.25,13.4,47.6,102.1,339,2025-10-16,Section 19(2) 12-Month Statutory Deadline Proximity,0.9994,1
PRJ-TRA-GAD-2026-0597,Gadchiroli High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,Maharashtra,Gadchiroli,20.1205,80.0558,501.2,809,1699,2527.8,2.21,50.4,8.3,70,0.45,1.77,17.9,1.75,7.6,33.5,76.1,245,2026-01-18,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2438,0
PRJ-TRA-NAN-2026-0598,Nandurbar High-Speed Rail Transit Link (Package 2),High-Speed Rail Transit Link,Transport,Maharashtra,Nandurbar,21.4147,74.1847,295.3,349,1025,1503.7,1.69,55.2,10.0,80,0.32,1.57,23.2,2.0,6.2,18.0,51.2,109,2026-06-03,Cadastral Boundary Verification & Normal Progress,0.1298,0
PRJ-TRA-SON-2026-0599,Sonbhadra National Highway Expressway Corridor (Package 1),National Highway Expressway Corridor,Transport,Uttar Pradesh,Sonbhadra,24.6588,83.0321,592.4,1447,3703,4363.7,1.87,37.3,8.9,80,0.6,1.53,28.0,2.0,6.4,41.9,74.1,181,2026-03-23,Section 41/42 Gram Sabha Consent Impasse,0.5953,1
PRJ-URB-SUR-2026-0600,Surat Industrial Mega Smart City Hub (Package 3),Industrial Mega Smart City Hub,Urban Development,Gujarat,Surat,21.1232,72.9063,1964.7,4350,9700,6452.9,5.32,0.5,27.5,70,0.28,3.18,20.3,1.0,18.4,21.5,93.2,175,2026-03-29,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8243,1
PRJ-TRA-JHA-2026-0601,Jharsuguda Dedicated Freight Railway Corridor (Package 1),Dedicated Freight Railway Corridor,Transport,Odisha,Jharsuguda,21.8521,83.9921,278.8,611,1125,759.7,2.7,37.6,20.1,70,0.18,1.37,13.0,2.0,10.7,20.0,69.3,159,2026-04-14,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0759,0
PRJ-TRA-BUR-2026-0602,Burdwan Dedicated Freight Railway Corridor (Package 2),Dedicated Freight Railway Corridor,Transport,West Bengal,Burdwan,23.2128,87.8345,1384.1,4379,9064,9500.1,2.55,8.9,56.4,80,0.05,2.05,19.3,1.25,7.3,8.5,65.0,407,2025-08-09,Section 19(2) 12-Month Statutory Deadline Proximity,0.9515,1
PRJ-TRA-SAL-2026-0603,Salem High-Speed Rail Transit Link (Package 3),High-Speed Rail Transit Link,Transport,Tamil Nadu,Salem,11.6698,78.1009,526.3,1913,4704,3826.6,4.0,11.8,49.3,80,0.19,1.95,11.9,1.25,13.1,6.7,66.9,164,2026-04-09,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2762,0
PRJ-URB-SAL-2026-0604,Salem Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Tamil Nadu,Salem,11.6261,78.1196,653.8,1052,2319,2698.3,3.37,9.6,48.3,70,0.33,1.72,19.9,1.25,9.9,18.1,75.4,404,2025-08-12,Section 19(2) 12-Month Statutory Deadline Proximity,0.8869,1
PRJ-TRA-NAG-2026-0605,Nagpur National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,Maharashtra,Nagpur,21.0988,79.0726,458.9,1129,3390,1394.7,2.45,12.8,20.2,80,0.67,2.0,9.0,1.5,13.7,45.2,78.4,42,2026-08-09,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2816,0
PRJ-TRA-PUR-2026-0606,Purba Medinipur High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,West Bengal,Purba Medinipur,21.9188,87.773,119.5,338,576,522.0,4.38,5.0,48.4,70,0.62,2.22,17.1,1.75,12.0,11.0,64.3,101,2026-06-11,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.3822,0
PRJ-ENE-GAD-2026-0607,Gadchiroli Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,Maharashtra,Gadchiroli,20.1648,80.0013,1478.4,3025,7401,9412.1,2.72,45.4,0.0,70,0.27,1.35,24.0,1.75,5.6,30.1,67.6,383,2025-09-02,Section 19(2) 12-Month Statutory Deadline Proximity,0.7891,1
PRJ-TRA-NAS-2026-0608,Nashik Dedicated Freight Railway Corridor (Package 3),Dedicated Freight Railway Corridor,Transport,Maharashtra,Nashik,20.0754,73.7588,1181.7,2711,8185,6564.9,3.16,13.3,20.2,70,0.67,2.48,23.8,1.75,11.0,17.1,69.6,137,2026-05-06,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1592,0
PRJ-URB-VAR-2026-0609,Varanasi Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,Uttar Pradesh,Varanasi,25.2736,82.9702,585.7,1423,4149,3847.1,2.72,16.0,58.7,70,0.5,2.33,15.9,1.25,14.4,25.2,85.7,225,2026-02-07,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8141,1
PRJ-WAT-PUR-2026-0610,Purba Medinipur Multi-Purpose Irrigation Dam & Canal (Package 1),Multi-Purpose Irrigation Dam & Canal,Water Resources,West Bengal,Purba Medinipur,21.9395,87.8234,355.0,720,1119,1662.0,2.78,4.4,58.5,0,0.06,1.78,6.8,1.75,14.2,40.6,88.2,285,2025-12-09,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.4444,0
PRJ-ENE-SAL-2026-0611,Salem Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,Tamil Nadu,Salem,11.7262,78.1733,2363.0,4141,7782,19177.5,3.29,7.1,48.1,0,0.18,2.45,14.4,1.5,15.3,9.4,78.8,88,2026-06-24,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.449,0
PRJ-TRA-KUT-2026-0612,Kutch Dedicated Freight Railway Corridor (Package 4),Dedicated Freight Railway Corridor,Transport,Gujarat,Kutch,23.3077,69.5893,1379.3,1130,3396,10185.3,2.1,24.7,3.6,80,0.44,1.26,17.0,2.0,4.3,30.0,70.7,389,2025-08-27,Section 19(2) 12-Month Statutory Deadline Proximity,0.873,1
PRJ-TRA-MYS-2026-0613,Mysuru High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,Karnataka,Mysuru,12.243,76.5594,500.7,1243,3453,1642.9,3.81,8.9,22.7,70,0.8,2.46,6.5,1.25,9.4,34.8,83.5,363,2025-09-22,Section 19(2) 12-Month Statutory Deadline Proximity,0.9436,1
PRJ-TRA-SAL-2026-0614,Salem National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,Tamil Nadu,Salem,11.695,78.0855,644.3,821,1385,2762.3,2.37,11.9,46.0,80,0.38,2.09,14.0,1.25,10.4,20.8,65.9,377,2025-09-08,Section 19(2) 12-Month Statutory Deadline Proximity,0.9683,1
PRJ-ENE-VAR-2026-0615,Varanasi Ultra Mega Solar Renewable Energy Park (Package 1),Ultra Mega Solar Renewable Energy Park,Energy,Uttar Pradesh,Varanasi,25.3693,82.9309,556.1,1987,5091,2783.1,4.0,11.5,61.6,0,0.31,2.46,13.8,1.25,14.3,14.5,78.8,458,2025-06-19,Section 19(2) 12-Month Statutory Deadline Proximity,0.9984,1
PRJ-TRA-SON-2026-0616,Sonbhadra Dedicated Freight Railway Corridor (Package 2),Dedicated Freight Railway Corridor,Transport,Uttar Pradesh,Sonbhadra,24.6195,83.0056,363.2,930,1666,2805.8,1.31,35.2,9.1,80,0.67,1.48,16.0,2.0,6.6,42.2,68.6,254,2026-01-09,Section 41/42 Gram Sabha Consent Impasse,0.7125,1
PRJ-WAT-PUR-2026-0617,Purba Medinipur Multi-Purpose Irrigation Dam & Canal (Package 4),Multi-Purpose Irrigation Dam & Canal,Water Resources,West Bengal,Purba Medinipur,22.0245,87.8325,496.3,1621,4942,3701.2,2.55,12.9,59.9,0,0.37,1.49,12.8,1.5,14.1,36.9,87.5,440,2025-07-07,Section 19(2) 12-Month Statutory Deadline Proximity,0.9602,1
PRJ-TRA-JHA-2026-0618,Jharsuguda National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Odisha,Jharsuguda,21.8499,83.972,346.1,371,851,1806.0,2.93,34.7,10.6,80,0.24,1.81,29.7,1.75,6.7,12.4,53.3,408,2025-08-08,Section 19(2) 12-Month Statutory Deadline Proximity,0.9312,1
PRJ-URB-PUN-2026-0619,Pune Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,Maharashtra,Pune,18.525,73.9252,612.4,433,980,1924.7,3.33,2.8,17.2,80,0.28,2.96,17.7,1.25,16.2,35.8,86.8,68,2026-07-14,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8289,1
PRJ-TRA-SUN-2026-0620,Sundargarh Dedicated Freight Railway Corridor (Package 2),Dedicated Freight Railway Corridor,Transport,Odisha,Sundargarh,22.1566,84.0437,743.1,1748,3667,6223.8,2.35,45.0,11.7,70,0.13,1.52,29.2,2.0,4.3,45.2,73.2,66,2026-07-16,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0523,0
PRJ-TRA-GAD-2026-0621,Gadchiroli National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Maharashtra,Gadchiroli,20.2171,79.9353,447.0,575,1267,2025.8,3.0,48.5,13.2,70,0.46,1.67,19.8,1.75,3.7,34.3,64.2,175,2026-03-29,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1139,0
PRJ-ENE-KAN-2026-0622,Kanpur Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,Uttar Pradesh,Kanpur,26.5223,80.3788,1350.5,3468,9769,4672.3,2.84,6.2,32.2,70,0.73,2.5,14.3,1.75,16.8,43.1,90.5,246,2026-01-17,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8901,1
PRJ-TRA-BHA-2026-0623,Bharuch Dedicated Freight Railway Corridor (Package 3),Dedicated Freight Railway Corridor,Transport,Gujarat,Bharuch,21.6334,72.9497,915.5,1765,5402,4641.6,4.01,0.5,26.9,70,0.78,2.3,12.8,1.5,14.4,6.1,61.6,394,2025-08-22,Section 19(2) 12-Month Statutory Deadline Proximity,0.9822,1
PRJ-WAT-MYS-2026-0624,Mysuru Multi-Purpose Irrigation Dam & Canal (Package 1),Multi-Purpose Irrigation Dam & Canal,Water Resources,Karnataka,Mysuru,12.2809,76.6013,278.1,347,851,1640.0,3.58,17.7,17.4,0,0.45,2.4,8.1,1.25,10.9,13.3,64.1,242,2026-01-21,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2477,0
PRJ-TRA-CUT-2026-0625,Cuttack National Highway Expressway Corridor (Package 1),National Highway Expressway Corridor,Transport,Odisha,Cuttack,20.5087,85.9244,835.0,1849,3334,6333.8,3.31,10.8,28.5,70,0.66,1.7,11.1,1.75,13.1,51.8,89.3,87,2026-06-25,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1516,0
PRJ-ENE-SUN-2026-0626,Sundargarh Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,Odisha,Sundargarh,22.0531,84.0897,1237.6,1933,4619,10326.1,2.68,43.1,6.8,0,0.71,1.67,14.6,2.0,9.5,17.9,75.3,249,2026-01-14,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1768,0
PRJ-URB-MYS-2026-0627,Mysuru Industrial Mega Smart City Hub (Package 3),Industrial Mega Smart City Hub,Urban Development,Karnataka,Mysuru,12.2761,76.6599,1462.5,3693,9381,5193.4,2.91,7.5,19.2,80,0.51,2.64,4.0,1.5,10.8,33.0,75.7,128,2026-05-15,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.4296,0
PRJ-ENE-HOO-2026-0628,Hooghly Ultra Mega Solar Renewable Energy Park (Package 1),Ultra Mega Solar Renewable Energy Park,Energy,West Bengal,Hooghly,22.8976,88.3202,1713.4,2732,5157,10596.0,3.4,10.3,57.7,70,0.49,1.82,18.4,1.75,11.4,6.8,65.4,187,2026-03-17,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2932,0
PRJ-TRA-VAR-2026-0629,Varanasi National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Uttar Pradesh,Varanasi,25.3665,82.9198,322.9,1081,2486,1608.2,3.41,15.4,61.6,70,0.05,2.25,16.2,1.75,11.1,49.2,88.9,213,2026-02-19,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.7227,1
PRJ-TRA-PUR-2026-0630,Purba Medinipur National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,West Bengal,Purba Medinipur,21.9713,87.7679,333.8,930,1702,2421.7,3.18,4.0,58.9,70,0.51,1.33,7.9,1.75,12.1,34.0,80.4,443,2025-07-04,Section 19(2) 12-Month Statutory Deadline Proximity,0.975,1
PRJ-TRA-BUR-2026-0631,Burdwan High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,West Bengal,Burdwan,23.229,87.9417,335.4,937,1314,1499.3,2.1,9.7,69.5,70,0.24,1.68,12.8,1.5,7.6,33.9,73.1,422,2025-07-25,Section 19(2) 12-Month Statutory Deadline Proximity,0.935,1
PRJ-TRA-KUT-2026-0632,Kutch Dedicated Freight Railway Corridor (Package 2),Dedicated Freight Railway Corridor,Transport,Gujarat,Kutch,23.3191,69.6527,1137.6,2737,5111,9615.3,2.36,28.7,3.0,80,0.62,1.23,24.1,2.0,6.6,19.8,73.2,357,2025-09-28,Section 19(2) 12-Month Statutory Deadline Proximity,0.8424,1
PRJ-ENE-KUT-2026-0633,Kutch Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,Gujarat,Kutch,23.2401,69.7453,2232.1,1985,5466,10554.5,1.61,22.3,3.3,70,0.38,1.27,23.9,1.75,1.9,39.8,57.2,187,2026-03-17,Cadastral Boundary Verification & Normal Progress,0.0472,0
PRJ-URB-BHA-2026-0634,Bharuch Industrial Mega Smart City Hub (Package 4),Industrial Mega Smart City Hub,Urban Development,Gujarat,Bharuch,21.6404,72.9772,745.8,1114,1986,5288.2,3.21,14.0,22.6,70,0.33,2.8,13.9,1.5,14.6,17.1,74.4,214,2026-02-18,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.7552,1
PRJ-URB-SUR-2026-0635,Surat Industrial Mega Smart City Hub (Package 3),Industrial Mega Smart City Hub,Urban Development,Gujarat,Surat,21.1573,72.7812,2096.8,3816,7208,13113.4,5.22,5.3,22.0,80,0.45,3.14,10.0,1.25,22.6,21.5,101.2,178,2026-03-26,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.9497,1
PRJ-ENE-MYS-2026-0636,Mysuru Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,Karnataka,Mysuru,12.357,76.7125,419.9,1067,2201,3491.9,3.23,4.7,25.0,70,0.49,2.27,12.4,1.5,10.5,47.9,86.9,417,2025-07-30,Section 19(2) 12-Month Statutory Deadline Proximity,0.9654,1
PRJ-ENE-CUT-2026-0637,Cuttack Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,Odisha,Cuttack,20.4229,85.8552,1222.2,1100,1734,6725.7,2.99,10.9,35.8,0,0.83,1.78,7.8,1.75,14.2,12.3,70.3,387,2025-08-29,Section 19(2) 12-Month Statutory Deadline Proximity,0.9022,1
PRJ-TRA-SAL-2026-0638,Salem National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,Tamil Nadu,Salem,11.6293,78.2005,512.1,790,2229,3657.3,3.34,2.4,44.6,70,0.56,2.2,11.6,1.25,12.8,33.6,80.9,143,2026-04-30,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.5996,1
PRJ-ENE-BUR-2026-0639,Burdwan Ultra Mega Solar Renewable Energy Park (Package 1),Ultra Mega Solar Renewable Energy Park,Energy,West Bengal,Burdwan,23.2742,87.8589,520.3,1058,2052,2189.8,2.96,10.6,60.5,70,0.52,1.75,14.3,1.5,12.4,28.5,66.1,184,2026-03-20,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2251,0
PRJ-ENE-KUT-2026-0640,Kutch Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,Gujarat,Kutch,23.2278,69.6299,2700.4,3228,8281,21992.9,2.22,27.5,0.0,0,0.54,1.25,16.5,1.75,4.6,30.2,72.5,197,2026-03-07,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0523,0
PRJ-TRA-BEN-2026-0641,Bengaluru Urban Dedicated Freight Railway Corridor (Package 4),Dedicated Freight Railway Corridor,Transport,Karnataka,Bengaluru Urban,12.965,77.6096,1398.5,1169,1504,5319.3,5.37,4.7,5.2,80,0.24,3.61,20.2,1.25,21.9,12.1,87.0,300,2025-11-24,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.9776,1
PRJ-ENE-VAR-2026-0642,Varanasi Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,Uttar Pradesh,Varanasi,25.257,82.8949,1041.6,2810,8913,2910.6,3.68,15.9,43.6,70,0.31,2.33,11.2,1.5,12.6,44.1,93.6,100,2026-06-12,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.6491,1
PRJ-TRA-BHA-2026-0643,Bharuch National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Gujarat,Bharuch,21.6599,72.9378,490.7,1274,3299,2134.7,3.8,6.8,29.7,80,0.57,2.47,6.3,1.5,10.6,13.1,62.2,363,2025-09-22,Section 19(2) 12-Month Statutory Deadline Proximity,0.9646,1
PRJ-ENE-NAS-2026-0644,Nashik Ultra Mega Solar Renewable Energy Park (Package 1),Ultra Mega Solar Renewable Energy Park,Energy,Maharashtra,Nashik,20.0357,73.7436,1723.2,3188,8323,11340.9,3.0,7.1,22.5,70,0.84,2.1,11.3,1.25,10.5,17.8,69.0,38,2026-08-13,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0526,0
PRJ-TRA-CUT-2026-0645,Cuttack High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,Odisha,Cuttack,20.4426,85.96,284.6,233,385,2065.5,3.1,12.6,28.1,70,0.7,1.76,24.3,1.25,12.7,42.9,82.7,29,2026-08-22,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0876,0
PRJ-TRA-AHM-2026-0646,Ahmedabad Dedicated Freight Railway Corridor (Package 4),Dedicated Freight Railway Corridor,Transport,Gujarat,Ahmedabad,23.0462,72.556,1015.2,2555,4095,7800.5,4.03,0.5,16.4,70,0.6,2.43,15.6,1.0,15.0,25.0,79.0,390,2025-08-26,Section 19(2) 12-Month Statutory Deadline Proximity,0.989,1
